Arrive Date,Depart Date,Location,Event Name,Attendance,Phone Number,Website
05/12/2020,05/13/2020,Palmer Events Center,2020 MOVE,1800,,www.terrapinn.com
07/28/2020,07/30/2020,Palmer Events Center,2020 Texas Bar Examinations,1800,,www.ble.texas.gov
09/16/2020,09/16/2020,Palmer Events Center,2020 Health Expo,1800,,www.austintexas.gov/department/human-resources
03/02/2020,03/02/2020,Palmer Events Center,2020 Austin Youth Council Career Fest,2000,,www.austintexas.gov/department/human-resources
03/07/2020,03/07/2020,Palmer Events Center,2020 Helping Hand Gala,2000,,www.helpinghandhome.org
06/23/2020,06/24/2020,Palmer Events Center,2020 134th TFDA Annual Convention,2000,,www.tfda.com
08/06/2020,08/07/2020,Palmer Events Center,2020 Global Leadership Summit,2000,,https://www.abbaconnect.net/
02/23/2020,02/23/2020,Palmer Events Center,Austin Family News Magazine,2150,,https://austinfamily.com/
08/01/2020,08/02/2020,Palmer Events Center,Austin Women's Expo,2200,,www.AustinWomensExpo.com
01/25/2020,01/26/2020,Palmer Events Center,2020 Le Garage Boutique Sale,2500,,www.legaragesale.net
12/02/2020,12/02/2020,Palmer Events Center,Small Business Expo 2020 - Austin,2500,,www.thesmallbusinessexpo.com
06/12/2020,06/14/2020,Palmer Events Center,2020 KetoCon,2700,,www.ketocon.org
02/16/2020,02/16/2020,Palmer Events Center,Wekfest Austin 2020,3000,,
04/16/2020,04/16/2020,Palmer Events Center,2020 Austin National College Fair,3000,,www.nacacfairs.org
04/20/2020,04/21/2020,Palmer Events Center,Austin Vet 2020,3000,,
10/18/2020,10/18/2020,Palmer Events Center,2020 Livestrong Challenge,3050,,www.livestrongchallange.org
10/23/2020,10/25/2020,Palmer Events Center,2020 Austin Gem and Mineral Show,3050,,https://agms-tx.org/gem-capers/
09/04/2020,09/06/2020,Palmer Events Center,2020 Austin Tattoo Invitational,3250,,www.austintattooinvitational.com
04/15/2020,04/15/2020,Palmer Events Center,2020 City of Austin Career Expo,3550,,www.austintexas.gov/department/human-resources
01/04/2020,01/05/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,www.citywidevintagesale.com
01/11/2020,01/12/2020,Palmer Events Center,2020 Bridal Extravaganza,4000,,www.texasweddings.com
01/18/2020,01/19/2020,Palmer Events Center,City-Wide Garage Sale LLC,4000,,www.citywidegaragesale.com
05/23/2020,05/24/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,www.citywidevintagesale.com
06/07/2020,06/07/2020,Palmer Events Center,2020 Bridal Extravaganza,4000,,www.texasweddings.com
06/20/2020,06/20/2020,Palmer Events Center,Austin Oddities & Curiosities Expo 2020,4000,,www.odditiesandcuriositiesexpo.com
06/27/2020,06/28/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,www.citywidevintagesale.com
07/18/2020,07/19/2020,Palmer Events Center,2020 City-Wide Vintage Sale,4000,,www.citywidevintagesale.com
